RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1222.556,3663.78,-1348.1443661601534,3927.0856120639364
-1350.5823896185943,3936.6735919318285,-1352,3934,-1289.1556,3656.6628,-1337.2459103659023,3902.196043297031
-1339.3355485478223,3926.037910952189,-1337,3924,-1118.6483,3731.4956,-1306.3862121066295,3876.3662679744884
-1331.837465750175,3918.9472774158958,-1332,3919,-1116.9739,3791.1536,-1279.452263441738,3860.921272255944
-1324.339480834547,3911.8567447567757,-1322,3909,-1103.5479,3813.695,-1252.3597910246162,3849.1683236880294
-1320.5905298499647,3908.3115207082856,-1322,3909,-1103.5479,3813.695,-1232.0385163458538,3841.979804416937
-1313.092564898214,3901.2210107787205,-1312,3899,-1199.6708,3739.7427,-1221.5769322625545,3823.265567467938
-1305.594541659564,3894.130443644924,-1307,3894,-1205.0225,3719.369,-1212.9963229417967,3803.7615617586225
-1294.3474413370006,3883.494528665873,-1292,3884,-1261.8107,3766.3115,-1210.4201121664923,3789.3460718931283
-1286.8493485573035,3876.403893194079,-1287,3874,-1276.0004,3743.6758,-1213.479269201117,3776.7496238555464
-1275.6021880474245,3865.7679188722504,-1277,3864,-1208.7662,3804.8499,-1203.3515811598966,3772.0844760656
-1268.1040726081706,3858.677260926066,-1267,3859,-1171.6265,3763.732,-1192.2687802071318,3764.82830763838
-1260.6059532098493,3851.5865990133525,-1262,3849,-1168.4067,3658.6782,-1182.397965959773,3742.921398971204
-1249.358769653782,3840.950601684206,-1247,3839,-1219.0643,3803.2964,-1178.8290076028527,3743.525703779942
-1241.8606454995677,3833.8599350445083,-1242,3834,-1108.2985,3643.514,-1161.6689339340314,3722.101031125284
-1234.3625204879274,3826.7692675982657,-1232,3824,-1164.203,3674.273,-1155.7774147836374,3708.834183369617
-1230.6134577566309,3823.223933673702,-1232,3824,-1164.203,3674.273,-1153.790419670049,3700.914942895326
-1230.6132825016255,3823.223795879794,-1232,3824,-1164.203,3674.273,-1151.9711778119226,3694.301090145057
-1230.6121499455774,3823.223761729941,-1232,3824,-1164.203,3674.273,-1150.2978940363053,3688.6695715977235
