RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1256.0448,3792.0762,-1349.7390713143775,3933.194954135833
-1346.8335406748265,3933.1284584675336,-1347,3934,-1249.0864,3773.0952,-1331.6057987846991,3910.878259191861
-1335.5865142047794,3922.4926007616623,-1337,3919,-1173.53,3742.14,-1305.2273135791238,3883.8581422273396
-1324.339480834547,3911.8567447567757,-1322,3909,-1271.142,3743.2861,-1291.2721460439882,3857.1663843245783
-1320.5905298499647,3908.3115207082856,-1322,3909,-1271.142,3743.2861,-1285.5977748304065,3840.3929185628112
-1313.092564898214,3901.2210107787205,-1312,3899,-1268.9761,3769.3591,-1277.0250840661834,3825.2306156920727
-1301.8455150832172,3890.5851453967334,-1302,3889,-1215.1417,3759.5054,-1258.7575936339329,3806.8658483954578
-1290.5983968245996,3879.949212782227,-1292,3879,-1268.5931,3719.5137,-1250.8221334178538,3784.6480362726693
-1279.3512436260585,3869.313245707878,-1277,3869,-1215.1776,3746.3406,-1235.8150274634613,3769.651481753475
-1268.1040726081706,3858.677260926066,-1267,3859,-1166.5381,3547.8083,-1215.1568865896015,3724.3751431717606
-1256.8568924936224,3848.041267037476,-1257,3849,-1198.0096,3760.9,-1203.0380569299266,3721.6889208021926
-1245.6097077076288,3837.4052684902626,-1247,3834,-1184.5911,3799.662,-1190.6824720308057,3726.182978633566
-1234.3625204879274,3826.7692675982657,-1232,3824,-1186.8741,3725.1794,-1180.83232789553,3717.2402845951287
-1230.6134577566309,3823.223933673702,-1232,3824,-1186.8741,3725.1794,-1178.6486531909143,3715.496761609513
-1230.6132825016255,3823.223795879794,-1232,3824,-1186.8741,3725.1794,-1176.6650305144658,3713.8697404190466
-1230.6121499455774,3823.223761729941,-1232,3824,-1294.7905,3735.8818,-1189.4558253885352,3713.797433341425
-1230.6108905373658,3823.223732586874,-1232,3824,-1294.7905,3735.8818,-1199.8003627724713,3713.56760775615
-1230.6094797120172,3823.2237075257262,-1232,3824,-1186.8741,3725.1794,-1194.9551888426538,3711.913011039607
-1230.6079038473424,3823.2236858669944,-1232,3824,-1294.7905,3735.8818,-1203.674021180398,3711.6829404828854
-1230.6061595266583,3823.2236671072415,-1232,3824,-1294.7905,3735.8818,-1211.0623920629441,3711.3978689542487
-1230.604251835944,3823.223650856287,-1232,3824,-1186.8741,3725.1794,-1205.0102348263645,3709.8537609208406
-1228.6337743703752,3818.386585586658,-1227,3819,-1044.3685,3755.7776,-1183.6044371645287,3711.902898303118
-1228.6369167967619,3818.4017387782624,-1227,3819,-1044.3685,3755.7776,-1164.8100191193178,3713.6517936500773
-1228.636299284422,3818.414849541832,-1227,3819,-1044.3685,3755.7776,-1148.2424215625601,3715.1533047744238
-1227.53241158461,3814.381691857341,-1227,3814,-1155.6288,3765.9062,-1145.7514818203183,3717.556326520499
-1227.5290550898833,3814.427348935572,-1227,3814,-1166.551,3781.646,-1144.7086176926548,3721.368462246003
-1227.5199770630268,3814.4620847364117,-1227,3814,-1166.551,3781.646,-1143.7639945135375,3724.73052833112
-1227.5078953507134,3814.487787760835,-1227,3814,-1179.4961,3766.4106,-1144.3009914897173,3726.0639863980364
-1227.4938363141414,3814.5062480937936,-1227,3814,-1166.551,3781.646,-1143.378469607538,3728.8712647373713
-1227.4789879877058,3814.519026461185,-1227,3814,-1155.6288,3765.9062,-1141.3792327410708,3729.679389467464
-1227.4656843418038,3814.5274483363132,-1227,3814,-1179.4961,3766.4106,-1142.1348091743316,3730.446117605316
