RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1366.6935,3871.7048,-1355.008058277613,3936.986797433872
-1343.0845651345155,3929.583204430593,-1342,3929,-1360.7532,3861.4114,-1342.0239670597746,3917.402742568758
-1328.088403286107,3915.401940783952,-1327,3914,-1364.6971,3873.1626,-1331.7844056891595,3899.6099416624497
-1313.092564898214,3901.2210107787205,-1312,3899,-1361.6322,3872.8743,-1323.5259035061524,3883.640109979059
-1298.0964811501863,3887.0398399222095,-1297,3884,-1291.5477,3862.3208,-1305.8912701297031,3868.3380668479945
-1283.100297290018,3872.8585706392487,-1282,3874,-1271.7319,3862.6252,-1287.6631754916232,3855.7037322089936
-1268.1040726081706,3858.677260926066,-1267,3859,-1269.4652,3861.3726,-1272.2256035656603,3845.240189524526
-1253.1078312753368,3844.495934560545,-1252,3844,-1236.5228,3837.7458,-1253.442050911037,3832.3810823782524
-1238.1115830796477,3830.314601399753,-1237,3829,-1221.3291,3760.4033,-1235.279839000308,3807.060283007874
-1234.3625204879274,3826.7692675982657,-1232,3824,-1226.5903,3861.8223,-1230.7251325099207,3813.4918382028545
-1230.6134577566309,3823.223933673702,-1232,3824,-1226.5903,3861.8223,-1230.084513749541,3820.9816211893126
-1230.6132825016255,3823.223795879794,-1232,3824,-1226.5903,3861.8223,-1229.58337785616,3826.840097016168
-1230.6121499455774,3823.223761729941,-1232,3824,-1220.119,3871.7817,-1228.3066328061623,3832.903100261054
-1230.6108905373658,3823.223732586874,-1232,3824,-1220.119,3871.7817,-1227.254814269808,3837.8978663480534
-1230.6094797120172,3823.2237075257262,-1232,3824,-1220.119,3871.7817,-1226.373196603191,3842.0843308493368
-1230.6079038473424,3823.2236858669944,-1232,3824,-1226.5903,3861.8223,-1226.3992161204128,3844.4481417788434
-1230.6061595266583,3823.2236671072415,-1232,3824,-1226.5903,3861.8223,-1226.4215510486108,3846.477621228758
-1230.604251835944,3823.223650856287,-1232,3824,-1220.119,3871.7817,-1223.6500334080254,3845.2864389035904
-1228.6337743703752,3818.386585586658,-1227,3819,-1216.3475,3836.6577,-1222.8270957512402,3844.3140485907843
-1228.6369167967619,3818.4017387782624,-1227,3819,-1216.3475,3836.6577,-1222.1061585664115,3843.46218204458
-1228.636299284422,3818.414849541832,-1227,3819,-1216.3475,3836.6577,-1219.8312843066328,3838.483349290697
-1227.53241158461,3814.381691857341,-1227,3814,-1214.6681,3811.5554,-1219.2672605533035,3835.541834548035
-1227.5290550898833,3814.427348935572,-1227,3814,-1214.6681,3811.5554,-1218.7681251551144,3832.938706503858
-1227.5199770630268,3814.4620847364117,-1227,3814,-1214.6681,3811.5554,-1218.3254811394875,3830.6301815694023
-1227.5078953507134,3814.487787760835,-1227,3814,-1214.6681,3811.5554,-1217.932274181374,3828.5794755229417
-1227.4938363141414,3814.5062480937936,-1227,3814,-1214.6681,3811.5554,-1217.5825135701427,3826.7553492045977
-1227.4789879877058,3814.519026461185,-1227,3814,-1214.6681,3811.5554,-1217.2710650240178,3825.131028612979
